,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hamilton,US,39.1834,-84.5333,68.2,54,10,5.99,clear sky
80,Faya,SA,18.3851,42.4509,68.32,61,35,6.58,light rain
81,Chokurdakh,RU,70.6333,147.9167,0.81,100,92,5.3,overcast clouds
82,Harper,LR,4.375,-7.7169,84.16,74,65,7.49,light rain
83,Nabire,ID,-3.3667,135.4833,77.2,91,100,2.73,overcast clouds
84,Barakpur,IN,22.7614,88.3719,85.93,79,40,9.22,haze
85,Mataura,NZ,-46.1927,168.8643,46.47,86,22,2.73,few clouds
86,Kaitangata,NZ,-46.2817,169.8464,49.08,85,84,3.96,broken clouds
87,Airai,TL,-8.9266,125.4092,60.01,83,99,2.82,overcast clouds
88,Mandera,KE,3.9366,41.867,86.13,52,100,15.23,overcast clouds
89,Rundu,NA,-17.9333,19.7667,69.57,46,83,6.73,broken clouds
90,Guerrero Negro,MX,27.9769,-114.0611,62.38,66,36,13.56,scattered clouds
91,Den Helder,NL,52.9599,4.7593,59.95,43,7,10.0,clear sky
92,Dingle,PH,10.9995,122.6711,76.6,72,99,5.79,overcast clouds
93,Srednekolymsk,RU,67.45,153.6833,29.08,90,100,2.62,overcast clouds
94,Sisimiut,GL,66.9395,-53.6735,28.53,65,100,4.72,overcast clouds
95,Mwinilunga,ZM,-11.7358,24.4293,65.57,71,68,4.81,broken clouds
96,Murbad,IN,19.25,73.4,85.89,62,0,6.02,clear sky
97,Olinda,BR,-8.0089,-34.8553,82.81,75,71,12.71,broken clouds
98,Komsomolskiy,UZ,40.4272,71.7189,81.32,29,69,20.71,broken clouds
99,Avera,US,33.194,-82.5271,82.38,55,51,6.17,broken clouds
100,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,14,10.27,few clouds
101,Cidreira,BR,-30.1811,-50.2056,63.36,72,100,5.21,heavy intensity rain
102,Hobart,AU,-42.8794,147.3294,62.26,73,100,9.22,overcast clouds
103,Saveh,IR,35.0213,50.3566,67.33,46,90,12.48,overcast clouds
104,Te Anau,NZ,-45.4167,167.7167,47.32,84,59,1.16,broken clouds
105,Mayo,US,38.8876,-76.5119,75.13,72,0,4.61,haze
106,Gimli,CA,50.6336,-96.9907,32.4,81,100,11.3,overcast clouds
107,Northam,GB,51.0333,-4.2167,58.66,82,83,8.95,broken clouds
108,Santa Luzia,BR,-19.7697,-43.8514,85.98,27,0,2.57,clear sky
109,Belyy Yar,RU,53.6039,91.3903,67.89,40,0,17.9,clear sky
110,Hovd,MN,48.0056,91.6419,61.93,19,97,9.37,overcast clouds
111,Rawson,AR,-43.3002,-65.1023,60.13,45,50,13.33,scattered clouds
